"","X.2","X.1","X","Depth","Location","Status","Site","Sample","PeriodLength","mean.relief","sd.relief","rock","macroalgae","hard.corals","sand","reef","Metric","response"
"19",19,19,19,1.5,"Pihaena","Fished","POL4W","POL4W.1",2.6482,1.61006289308176,0.728375595882821,0.547169811320755,0.226415094339623,0.0440251572327044,0.182389937106918,0.817610062893082,"Total.Abundance",187
"20",20,20,20,1.5,"Pihaena","Fished","POL4W","POL4W.2",2.0587,1.57142857142857,0.713392298408506,0.391304347826087,0.130434782608696,0.0869565217391304,0.391304347826087,0.608695652173913,"Total.Abundance",145
"21",21,21,21,1.5,"Pihaena","Fished","POL4W","POL4W.3",2.4063,1.86781609195402,0.644943740499954,0.333333333333333,0.431034482758621,0.0689655172413793,0.166666666666667,0.833333333333333,"Total.Abundance",110
"22",22,22,22,1.5,"Pihaena","Fished","POL4W","POL4W.4",2.0687,1.53763440860215,0.992503139459355,0.387096774193548,0.241935483870968,0.10752688172043,0.263440860215054,0.736559139784946,"Total.Abundance",93
"23",23,23,23,1.5,"Pihaena","Fished","POL4W","POL4W.5",2.1291,1.60655737704918,0.993584174491359,0.475409836065574,0.191256830601093,0.0765027322404372,0.256830601092896,0.743169398907104,"Total.Abundance",149
"24",24,24,24,1.5,"Pihaena","Fished","POL4W","POL4W.6",1.4373,1.69230769230769,0.932227235735804,0.390532544378698,0.319526627218935,0.0946745562130177,0.195266272189349,0.804733727810651,"Total.Abundance",103
"25",25,25,25,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.1",2.4369,1.32380952380952,1.08747447445939,0.247619047619048,0,0.123809523809524,0.561904761904762,0.371428571428571,"Total.Abundance",73
"26",26,26,26,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.2",2.272,1.35922330097087,1.08333516378764,0.116504854368932,0,0.242718446601942,0.563106796116505,0.359223300970874,"Total.Abundance",63
"27",27,27,27,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.3",2.3682,1.60909090909091,1.11779151972448,0.109090909090909,0,0.381818181818182,0.481818181818182,0.490909090909091,"Total.Abundance",128
"28",28,28,28,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.4",2.9457,1.76470588235294,1.01646320021474,0.264705882352941,0,0.303921568627451,0.382352941176471,0.568627450980392,"Total.Abundance",350
"29",29,29,29,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.5",2.6279,1.85593220338983,0.898958787346361,0.169491525423729,0.00847457627118644,0.525423728813559,0.271186440677966,0.703389830508475,"Total.Abundance",203
"30",30,30,30,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.6",3.1253,2.23809523809524,0.740631351304277,0.0761904761904762,0,0.752380952380952,0.0952380952380952,0.828571428571429,"Total.Abundance",86
"31",31,31,31,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.1",2.3832,1.17821782178218,1.11710375170761,0.0495049504950495,0,0.306930693069307,0.613861386138614,0.356435643564356,"Total.Abundance",51
"32",32,32,32,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.2",2.2283,1.04,0.994124151342692,0.02,0,0.24,0.67,0.26,"Total.Abundance",55
"33",33,33,33,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.3",2.5175,1.4392523364486,1.01104812133259,0.14018691588785,0,0.411214953271028,0.401869158878505,0.551401869158878,"Total.Abundance",59
"34",34,34,34,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.4",2.7277,1.86407766990291,1.01022753881626,0.135922330097087,0,0.524271844660194,0.330097087378641,0.660194174757281,"Total.Abundance",102
"35",35,35,35,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.5",2.438,1.52991452991453,1.03867164481146,0.0256410256410256,0,0.495726495726496,0.47008547008547,0.521367521367521,"Total.Abundance",72
"36",36,36,36,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.6",2.0298,1.1078431372549,1.03318083054991,0.00980392156862745,0,0.284313725490196,0.705882352941177,0.294117647058824,"Total.Abundance",46
"37",37,37,37,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.1",2.3069,1.53125,1.04946555577394,0.390625,0,0.3125,0.296875,0.703125,"Total.Abundance",108
"38",38,38,38,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.2",2.2089,1.21374045801527,1.022874032306,0.381679389312977,0.00763358778625954,0.206106870229008,0.404580152671756,0.595419847328244,"Total.Abundance",111
"39",39,39,39,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.3",2.0008,1.2436974789916,0.769838047624214,0.478991596638655,0,0.100840336134454,0.420168067226891,0.579831932773109,"Total.Abundance",96
"40",40,40,40,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.4",2.1731,1.28472222222222,0.850036563956023,0.458333333333333,0,0.208333333333333,0.333333333333333,0.666666666666667,"Total.Abundance",142
"41",41,41,41,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.5",1.8611,1.28888888888889,1.03568181210273,0.377777777777778,0,0.259259259259259,0.362962962962963,0.637037037037037,"Total.Abundance",125
"42",42,42,42,1.4,"Tetaiuo","Fished","TeOL2S","TeOL2S.6",2.0094,0.936170212765957,0.979888958413487,0.219858156028369,0,0.290780141843972,0.48936170212766,0.51063829787234,"Total.Abundance",132
"43",43,43,43,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.1",2.5114,0.603603603603604,1.05554190545365,0.162162162162162,0,0.0720720720720721,0.765765765765766,0.234234234234234,"Total.Abundance",63
"44",44,44,44,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.2",1.8531,0.558333333333333,1.09847742856393,0.0916666666666667,0,0.0916666666666667,0.816666666666667,0.183333333333333,"Total.Abundance",35
"45",45,45,45,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.3",2.2406,0.6484375,1.194408519979,0.15625,0,0.078125,0.765625,0.234375,"Total.Abundance",16
"46",46,46,46,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.4",2.1944,0.678260869565217,1.17389609276685,0.121739130434783,0,0.139130434782609,0.739130434782609,0.260869565217391,"Total.Abundance",57
"47",47,47,47,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.5",2.2572,0.240384615384615,0.660908352674409,0.0865384615384615,0,0.0480769230769231,0.865384615384615,0.134615384615385,"Total.Abundance",27
"48",48,48,48,0.8,"Tetaiuo","Fished","TeOL3N","TeOL3N.6",2.2375,0.712962962962963,1.1685195196377,0.212962962962963,0,0.0925925925925926,0.694444444444444,0.305555555555556,"Total.Abundance",42
"49",49,49,49,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.1",2.7944,1.14130434782609,1.28029462388035,0.184782608695652,0,0.304347826086957,0.510869565217391,0.489130434782609,"Total.Abundance",49
"50",50,50,50,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.2",2.4386,1,1.17473401244707,0.217821782178218,0,0.227722772277228,0.554455445544555,0.445544554455446,"Total.Abundance",17
"51",51,51,51,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.3",2.3047,1.48305084745763,1.29913219455562,0.364406779661017,0,0.288135593220339,0.347457627118644,0.652542372881356,"Total.Abundance",34
"52",52,52,52,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.4",2.4933,1.34188034188034,1.35291762092404,0.196581196581197,0,0.341880341880342,0.461538461538462,0.538461538461538,"Total.Abundance",62
"53",53,53,53,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.5",1.9042,0.794117647058823,1.18018487638919,0.117647058823529,0,0.215686274509804,0.666666666666667,0.333333333333333,"Total.Abundance",36
"54",54,54,54,1.4,"Tetaiuo","Fished","TeOL4N","TeOL4N.6",2.5161,1.13559322033898,1.26027574134677,0.26271186440678,0.00847457627118644,0.254237288135593,0.474576271186441,0.525423728813559,"Total.Abundance",30
"55",55,55,55,0.9,"Tiahura","No-take","TiIL2","TiIL2.1",2.5512,1.02586206896552,0.973217048909366,0.0517241379310345,0.0603448275862069,0.293103448275862,0.594827586206897,0.405172413793103,"Total.Abundance",124
"56",56,56,56,0.9,"Tiahura","No-take","TiIL2","TiIL2.2",3.0936,1.15441176470588,1.06721289118893,0.117647058823529,0.0882352941176471,0.205882352941176,0.588235294117647,0.411764705882353,"Total.Abundance",106
"57",57,57,57,0.9,"Tiahura","No-take","TiIL2","TiIL2.3",2.7483,1.51181102362205,0.834438711952233,0.354330708661417,0.0236220472440945,0.149606299212598,0.47244094488189,0.52755905511811,"Total.Abundance",58
"58",58,58,58,0.9,"Tiahura","No-take","TiIL2","TiIL2.4",2.3373,1.99137931034483,0.551609339631062,0.344827586206897,0.198275862068966,0.318965517241379,0.137931034482759,0.862068965517241,"Total.Abundance",155
"59",59,59,59,0.9,"Tiahura","No-take","TiIL2","TiIL2.5",1.8702,1.90163934426229,0.921818505160189,0.459016393442623,0.0737704918032787,0.155737704918033,0.311475409836066,0.688524590163935,"Total.Abundance",117
"60",60,60,60,0.9,"Tiahura","No-take","TiIL2","TiIL2.6",1.7604,1.56589147286822,1.05211811094565,0.302325581395349,0.116279069767442,0.131782945736434,0.449612403100775,0.550387596899225,"Total.Abundance",118
"61",61,61,61,1.3,"Tiahura","No-take","TiIL3","TiIL3.1",2.3688,1.58267716535433,0.921015182491148,0.094488188976378,0.015748031496063,0.488188976377953,0.401574803149606,0.598425196850394,"Total.Abundance",85
"62",62,62,62,1.3,"Tiahura","No-take","TiIL3","TiIL3.2",2.507,1.60294117647059,0.983413644665438,0.183823529411765,0.0220588235294118,0.404411764705882,0.389705882352941,0.610294117647059,"Total.Abundance",98
"63",63,63,63,1.3,"Tiahura","No-take","TiIL3","TiIL3.3",2.3757,1.84246575342466,0.868517215713941,0.383561643835616,0.0273972602739726,0.376712328767123,0.212328767123288,0.787671232876712,"Total.Abundance",95
"64",64,64,64,1.3,"Tiahura","No-take","TiIL3","TiIL3.4",1.7148,1.91603053435115,0.784838718747423,0.748091603053435,0.0152671755725191,0.129770992366412,0.106870229007634,0.893129770992366,"Total.Abundance",126
"65",65,65,65,1.3,"Tiahura","No-take","TiIL3","TiIL3.5",1.727,1.52985074626866,0.63352811483996,0.865671641791045,0.0149253731343284,0.0522388059701493,0.0671641791044776,0.932835820895522,"Total.Abundance",131
"66",66,66,66,1.3,"Tiahura","No-take","TiIL3","TiIL3.6",2.3148,1.6030534351145,0.761369103987901,0.404580152671756,0.0305343511450382,0.282442748091603,0.282442748091603,0.717557251908397,"Total.Abundance",115
"67",67,67,67,0.8,"Tiahura","No-take","TiIL4","TiIL4.1",2.4466,1.88405797101449,0.97466044072642,0.369565217391304,0.072463768115942,0.253623188405797,0.304347826086957,0.695652173913043,"Total.Abundance",126
"68",68,68,68,0.8,"Tiahura","No-take","TiIL4","TiIL4.2",2.7847,2.12162162162162,0.69893412928569,0.378378378378378,0.0945945945945946,0.432432432432432,0.0945945945945946,0.905405405405405,"Total.Abundance",141
"69",69,69,69,0.8,"Tiahura","No-take","TiIL4","TiIL4.3",2.636,2.14765100671141,0.72013361115926,0.557046979865772,0.0939597315436242,0.201342281879195,0.147651006711409,0.852348993288591,"Total.Abundance",147
"70",70,70,70,0.8,"Tiahura","No-take","TiIL4","TiIL4.4",2.6788,1.54676258992806,1.05103828294384,0.474820143884892,0.00719424460431655,0.194244604316547,0.323741007194245,0.676258992805755,"Total.Abundance",144
"71",71,71,71,0.8,"Tiahura","No-take","TiIL4","TiIL4.5",2.069,1.84892086330935,1.13516690380274,0.568345323741007,0.00719424460431655,0.201438848920863,0.223021582733813,0.776978417266187,"Total.Abundance",126
"72",72,72,72,0.8,"Tiahura","No-take","TiIL4","TiIL4.6",2.126,1.96527777777778,0.978175799295758,0.583333333333333,0.131944444444444,0.125,0.159722222222222,0.840277777777778,"Total.Abundance",153
"73",73,73,73,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.1",2.4088,1.48965517241379,1.36990085498565,0.206896551724138,0.179310344827586,0.144827586206897,0.468965517241379,0.531034482758621,"Total.Abundance",103
"74",74,74,74,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.2",2.6663,1.17721518987342,1.37548595855726,0.253164556962025,0.183544303797468,0.0379746835443038,0.525316455696203,0.474683544303797,"Total.Abundance",83
"75",75,75,75,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.3",2.2192,1.26666666666667,1.38867261552521,0.28,0.0933333333333333,0.1,0.526666666666667,0.473333333333333,"Total.Abundance",112
"76",76,76,76,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.4",2.1766,1.40268456375839,1.17932334634446,0.375838926174497,0.10738255033557,0.0738255033557047,0.442953020134228,0.557046979865772,"Total.Abundance",87
"77",77,77,77,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.5",1.9962,1.62758620689655,1.12388727431357,0.282758620689655,0.227586206896552,0.124137931034483,0.36551724137931,0.63448275862069,"Total.Abundance",84
"78",78,78,78,1.2,"Tiahura","Fished","TiOL2E","TiOL2E.6",2.7169,1.23809523809524,1.35147475679897,0.326530612244898,0.00680272108843537,0.115646258503401,0.551020408163265,0.448979591836735,"Total.Abundance",139
"79",79,79,79,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.1",2.2125,1.79824561403509,1.03205118005597,0.350877192982456,0,0.280701754385965,0.368421052631579,0.631578947368421,"Total.Abundance",130
"80",80,80,80,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.2",2.3649,1.6640625,1.04450073783535,0.3125,0,0.203125,0.484375,0.515625,"Total.Abundance",110
"81",81,81,81,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.3",1.8485,1.51282051282051,1.19348363332887,0.333333333333333,0,0.273504273504274,0.393162393162393,0.606837606837607,"Total.Abundance",71
"82",82,82,82,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.4",1.9478,0.75,1.14293757760707,0.107142857142857,0,0.214285714285714,0.678571428571429,0.321428571428571,"Total.Abundance",55
"83",83,83,83,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.5",2.1608,1.71830985915493,1.21086216973135,0.366197183098592,0,0.352112676056338,0.28169014084507,0.71830985915493,"Total.Abundance",74
"84",84,84,84,0.8,"Tiahura","Fished","TiOL3W","TiOL3W.6",2.2753,1.2734375,1.25312110348521,0.2890625,0,0.21875,0.4921875,0.5078125,"Total.Abundance",84
"85",85,85,85,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.1",2.2459,0.891472868217054,1.24524288593079,0.170542635658915,0,0.178294573643411,0.651162790697674,0.348837209302326,"Total.Abundance",53
"86",86,86,86,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.2",2.1527,0.961240310077519,1.41091227566153,0.170542635658915,0,0.162790697674419,0.666666666666667,0.333333333333333,"Total.Abundance",51
"87",87,87,87,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.3",2.0276,0.968253968253968,1.33827655101034,0.19047619047619,0.0158730158730159,0.150793650793651,0.642857142857143,0.357142857142857,"Total.Abundance",76
"88",88,88,88,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.4",1.9244,0.926229508196721,1.24095426349271,0.188524590163934,0,0.180327868852459,0.631147540983607,0.368852459016393,"Total.Abundance",50
"89",89,89,89,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.5",2.2973,1.08064516129032,1.25973783692532,0.233870967741935,0.0241935483870968,0.17741935483871,0.564516129032258,0.435483870967742,"Total.Abundance",59
"90",90,90,90,0.8,"Tiahura","Fished","TiOL4W","TiOL4W.6",2.5136,0.619047619047619,1.15832391226042,0.126984126984127,0,0.103174603174603,0.76984126984127,0.23015873015873,"Total.Abundance",52
"91",91,91,91,1,"Tiahura","Fished","TiOL5","TiOL5.1",2.3849,1.89473684210526,1.26469011246928,0.508771929824561,0.0526315789473684,0.157894736842105,0.280701754385965,0.719298245614035,"Total.Abundance",80
"92",92,92,92,1,"Tiahura","Fished","TiOL5","TiOL5.2",2.2203,1.58260869565217,1.3111037849886,0.504347826086956,0.0260869565217391,0.0869565217391304,0.382608695652174,0.617391304347826,"Total.Abundance",75
"93",93,93,93,1,"Tiahura","Fished","TiOL5","TiOL5.3",1.9091,1.52066115702479,1.37900431201718,0.396694214876033,0.00826446280991736,0.148760330578512,0.446280991735537,0.553719008264463,"Total.Abundance",55
"94",94,94,94,1,"Tiahura","Fished","TiOL5","TiOL5.4",2.1914,1.53076923076923,1.31295548929709,0.446153846153846,0.0615384615384615,0.0615384615384615,0.430769230769231,0.569230769230769,"Total.Abundance",101
"95",95,95,95,1,"Tiahura","Fished","TiOL5","TiOL5.5",1.8616,1.87931034482759,1.23115479487168,0.46551724137931,0.0344827586206897,0.232758620689655,0.267241379310345,0.732758620689655,"Total.Abundance",95
"96",96,96,96,1,"Tiahura","Fished","TiOL5","TiOL5.6",2.0534,1.703125,1.3824511781045,0.2421875,0.1015625,0.2734375,0.3828125,0.6171875,"Total.Abundance",106
"97",97,97,97,1.5,"Pihaena","No-take","PIL1","PIL1.1",3.6106,1.59259259259259,0.809257615684121,0.0925925925925926,0.203703703703704,0.37037037037037,0.333333333333333,0.666666666666667,"Species.Richness",11
"98",98,98,98,1.5,"Pihaena","No-take","PIL1","PIL1.2",3.3478,1.31192660550459,0.997192797830415,0.100917431192661,0.155963302752294,0.256880733944954,0.486238532110092,0.513761467889908,"Species.Richness",7
"99",99,99,99,1.5,"Pihaena","No-take","PIL1","PIL1.3",3.3625,1.44827586206897,1.04127703857545,0.206896551724138,0.163793103448276,0.181034482758621,0.448275862068966,0.551724137931034,"Species.Richness",11
"100",100,100,100,1.5,"Pihaena","No-take","PIL1","PIL1.4",3.5825,1.90434782608696,0.917413536663812,0.226086956521739,0.121739130434783,0.365217391304348,0.28695652173913,0.71304347826087,"Species.Richness",14
"101",101,101,101,1.5,"Pihaena","No-take","PIL1","PIL1.5",4.512,2.07936507936508,0.765278245901968,0.23015873015873,0.373015873015873,0.222222222222222,0.174603174603175,0.825396825396825,"Species.Richness",26
"102",102,102,102,1.5,"Pihaena","No-take","PIL1","PIL1.6",3.5319,1.81443298969072,0.83329037689972,0.45360824742268,0.0927835051546392,0.237113402061856,0.216494845360825,0.783505154639175,"Species.Richness",15
"103",103,103,103,1,"Pihaena","No-take","PIL2","PIL2.1",3.2021,1.51851851851852,0.936897954837013,0.209876543209877,0.0864197530864197,0.234567901234568,0.469135802469136,0.530864197530864,"Species.Richness",11
"104",104,104,104,1,"Pihaena","No-take","PIL2","PIL2.2",2.6749,1.59574468085106,0.953985966581148,0.276595744680851,0.180851063829787,0.191489361702128,0.351063829787234,0.648936170212766,"Species.Richness",14
"105",105,105,105,1,"Pihaena","No-take","PIL2","PIL2.3",4.0393,1.84615384615385,0.815954957928868,0.384615384615385,0.162393162393162,0.222222222222222,0.230769230769231,0.769230769230769,"Species.Richness",11
"106",106,106,106,1,"Pihaena","No-take","PIL2","PIL2.4",2.7864,1.58904109589041,0.830589088779031,0.219178082191781,0.246575342465753,0.219178082191781,0.315068493150685,0.684931506849315,"Species.Richness",10
"107",107,107,107,1,"Pihaena","No-take","PIL2","PIL2.5",3.1312,1.82178217821782,0.876310899212836,0.099009900990099,0.227722772277228,0.435643564356436,0.237623762376238,0.762376237623762,"Species.Richness",11
"108",108,108,108,1,"Pihaena","No-take","PIL2","PIL2.6",4.1656,2.01980198019802,1.06752234655582,0.257425742574257,0.356435643564356,0.0891089108910891,0.297029702970297,0.702970297029703,"Species.Richness",12
"109",109,109,109,2.2,"Pihaena","Fished","POL3W","POL3W.1",2.0718,1.80666666666667,1.26223763526315,0.5,0.12,0.0866666666666667,0.293333333333333,0.706666666666667,"Species.Richness",14
"110",110,110,110,2.2,"Pihaena","Fished","POL3W","POL3W.2",2.0901,1.84563758389262,0.867777778680983,0.583892617449664,0.0469798657718121,0.221476510067114,0.147651006711409,0.852348993288591,"Species.Richness",18
"111",111,111,111,2.2,"Pihaena","Fished","POL3W","POL3W.3",1.9528,1.68275862068966,0.761061468862387,0.744827586206897,0.0206896551724138,0.137931034482759,0.096551724137931,0.903448275862069,"Species.Richness",18
"112",112,112,112,2.2,"Pihaena","Fished","POL3W","POL3W.4",2.3307,1.4,1.00531133862797,0.458823529411765,0.0941176470588235,0.111764705882353,0.335294117647059,0.664705882352941,"Species.Richness",16
"113",113,113,113,2.2,"Pihaena","Fished","POL3W","POL3W.5",2.2589,1.60666666666667,0.850555812487693,0.446666666666667,0.08,0.286666666666667,0.186666666666667,0.813333333333333,"Species.Richness",16
"114",114,114,114,2.2,"Pihaena","Fished","POL3W","POL3W.6",1.9022,1.4578313253012,0.828305386799251,0.560240963855422,0.0180722891566265,0.240963855421687,0.180722891566265,0.819277108433735,"Species.Richness",17
"115",115,115,115,1.5,"Pihaena","Fished","POL4W","POL4W.1",2.6482,1.61006289308176,0.728375595882821,0.547169811320755,0.226415094339623,0.0440251572327044,0.182389937106918,0.817610062893082,"Species.Richness",18
"116",116,116,116,1.5,"Pihaena","Fished","POL4W","POL4W.2",2.0587,1.57142857142857,0.713392298408506,0.391304347826087,0.130434782608696,0.0869565217391304,0.391304347826087,0.608695652173913,"Species.Richness",14
"117",117,117,117,1.5,"Pihaena","Fished","POL4W","POL4W.3",2.4063,1.86781609195402,0.644943740499954,0.333333333333333,0.431034482758621,0.0689655172413793,0.166666666666667,0.833333333333333,"Species.Richness",14
"118",118,118,118,1.5,"Pihaena","Fished","POL4W","POL4W.4",2.0687,1.53763440860215,0.992503139459355,0.387096774193548,0.241935483870968,0.10752688172043,0.263440860215054,0.736559139784946,"Species.Richness",11
"119",119,119,119,1.5,"Pihaena","Fished","POL4W","POL4W.5",2.1291,1.60655737704918,0.993584174491359,0.475409836065574,0.191256830601093,0.0765027322404372,0.256830601092896,0.743169398907104,"Species.Richness",17
"120",120,120,120,1.5,"Pihaena","Fished","POL4W","POL4W.6",1.4373,1.69230769230769,0.932227235735804,0.390532544378698,0.319526627218935,0.0946745562130177,0.195266272189349,0.804733727810651,"Species.Richness",16
"121",121,121,121,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.1",2.4369,1.32380952380952,1.08747447445939,0.247619047619048,0,0.123809523809524,0.561904761904762,0.371428571428571,"Species.Richness",9
"122",122,122,122,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.2",2.272,1.35922330097087,1.08333516378764,0.116504854368932,0,0.242718446601942,0.563106796116505,0.359223300970874,"Species.Richness",15
"123",123,123,123,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.3",2.3682,1.60909090909091,1.11779151972448,0.109090909090909,0,0.381818181818182,0.481818181818182,0.490909090909091,"Species.Richness",13
"124",124,124,124,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.4",2.9457,1.76470588235294,1.01646320021474,0.264705882352941,0,0.303921568627451,0.382352941176471,0.568627450980392,"Species.Richness",19
"125",125,125,125,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.5",2.6279,1.85593220338983,0.898958787346361,0.169491525423729,0.00847457627118644,0.525423728813559,0.271186440677966,0.703389830508475,"Species.Richness",17
"126",126,126,126,1.5,"Tetaiuo","No-take","TeIL1","TeIL1.6",3.1253,2.23809523809524,0.740631351304277,0.0761904761904762,0,0.752380952380952,0.0952380952380952,0.828571428571429,"Species.Richness",18
"127",127,127,127,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.1",2.3832,1.17821782178218,1.11710375170761,0.0495049504950495,0,0.306930693069307,0.613861386138614,0.356435643564356,"Species.Richness",11
"128",128,128,128,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.2",2.2283,1.04,0.994124151342692,0.02,0,0.24,0.67,0.26,"Species.Richness",10
"129",129,129,129,1.5,"Tetaiuo","No-take","TeIL4","TeIL4.3",2.5175,1.4392523364486,1.01104812133259,0.14018691588785,0,0.411214953271028,0.401869158878505,0.551401869158878,"Species.Richness",16
