Genus_species	Family	Genus	GASPAR code	Max	DepthMIN	DepthMAX	HomeRange	Activity	Schooling	Level	Diet 7cl2	HerbivoreType	Diet Spe Coral	Habitat Spe Coral	Size	SizeClass	Coeffa	Coeffb	Level coeff	CommLoc	CommReg	TargetLoc	Commercial	Ciguatera	Resilience
Acanthurus xanthopterus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Albula glossodonta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Alectis ciliaris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Aluterus scriptus	Monacanthidae	Aluterus	4275	110	3	120	3	B	1	2	PK	0	1	0	110	5	0.012224814	3.032756806	famille	0	0	1	0	0	medium
Amanses scopas	Monacanthidae	Amanses	6672	20	3	18	2	D	1	1	IM	0	2	1	20	3	0.012224814	3.032756806	famille	0	0	0	0	0	medium
Amblygobius phalaena	Gobiidae	Amblygobius	7198	15	2	20	1	D	2	1	OM	0	0	0	15	3	0.018375962	2.833567575	sp	0	0	0	0	0	high
Amphiprion chrysopterus	Pomacentridae	Amphiprion	4551	17	1	30	1	D	3	1	PK	0	0	0	17	3	0.018866471	3.190209884	genus	0	0	0	0	0	high
Anampses caeruleopunctatus	Labridae	Anampses	4888	42	3	30	2	D	3	1	IM	0	0	1	42	4	0.022609401	2.792711024	genus	0	0	0	0	0	medium
Anampses melanurus	Labridae	Anampses	5622	12	15	40	2	D	3	1	IM	0	0	0	12	3	0.022609401	2.792711024	genus	0	0	0	NA	0	high
Anampses meleagrides	Labridae	Anampses	4889	21	3	60	2	D	1	1	IM	0	0	1	22	4	0.022609401	2.792711024	genus	0	0	0	0	0	medium
Anampses twistii	Labridae	Anampses	4893	18	5	30	2	D	1	1	IM	0	0	1	18	3	0.022609401	2.792711024	genus	0	0	0	0	0	high
Aphareus furca	Lutjanidae	Aphareus	81	70	1	122	3	B	3	2	FC	0	0	1	70	5	0.016736035	3.022152377	famille	0	1	2	2	0	medium
Apogon angustatus	Apogonidae	Apogon	5766	NA	6	65	1	N	3	1	IM	0	0	1	11	2	0.004929367	3.780060935	sp	0	0	0	NA	0	high
Apogon exostigma	Apogonidae	Apogon	5756	NA	12	40	1	N	4	2	IM	0	0	1	12	2	0.016350922	3.068793136	sp	0	0	0	NA	0	high
Apogon fraenatus	Apogonidae	Apogon	5757	NA	3	50	1	N	3	1	IM	0	0	1	10	2	0.013015533	3.165288184	sp	0	0	0	NA	0	high
Apogon kallopterus	Apogonidae	Apogon	5758	NA	3	158	1	N	3	1	PK	0	0	1	15	2	0.010096719	3.314155421	sp	0	0	0	NA	0	high
Apogon nigrofasciatus	Apogonidae	Apogon	4836	NA	1	35	1	N	4	2	PK	0	0	1	10	2	0.01544933	3.121264237	genus	0	0	0	NA	0	high
Apogon novemfasciatus	Apogonidae	Apogon	5768	NA	1	4	1	N	3	1	PK	0	0	1	10	2	0.008627678	3.413551801	sp	0	0	0	NA	0	high
Apogon relativus	Apogonidae	Apogon	59453	9.1	0	9	1	N	5	2	PK	0	0	0	7.38	2	0.01544933	3.121264237	genus	0	0	0	NA	0	high
Apogon sp	Apogonidae	Apogon	G-3391	NA	NA	NA	1	N	4	2	PK	NA	NA	NA	NA	NA	0.01544933	3.121264237	genus	0	0	0	NA	0	NA
Aprion virescens	Lutjanidae	Aprion	84	110	0	180	3	B	3	2	FC	0	0	0	112	5	0.022966753	2.886269439	sp	0	1	2	2	1	medium
Arothron hispidus	Tetraodontidae	Arothron	5425	50	3	50	2	D	1	1	IS	0	1	0	50	5	0.063381319	2.755967358	sp	0	0	1	0	0	medium
Arothron meleagris	Tetraodontidae	Arothron	6401	50	3	24	2	D	1	1	IS	0	1	0	50	5	0.035235421	2.901325906	genus	0	0	1	0	0	medium
Aspidontus taeniatus	Blenniidae	Aspidontus	6066	11.5	3	25	1	D	1	2	OM	0	0	1	11.5	3	0.002176338	3.900642826	famille	0	0	0	0	0	high
Asterropteryx semipunctata	Gobiidae	Asterropteryx	7200	6.5	1	20	1	D	3	1	OM	0	0	0	4	1	0.026387532	2.622565603	famille	0	0	0	0	0	high
Atherinomorus sp	Atherinidae	Atherinomorus	G-2758	NA	NA	NA	3	B	5	3	PK	NA	NA	NA	NA	NA	0.00636	3.29752	famille	0	0	0	NA	0	NA
Atrosalarias fuscus	Blenniidae	Atrosalarias	7559	14.5	0	0	1	D	1	1	HD	Grazer	0	1	14.5	3	0.014905494	3.017856658	sp	0	0	0	0	0	high
Aulostomus chinensis	Aulostomidae	Aulostomus	1309	80	3	122	2	D	1	2	FC	0	0	0	80	5	0.00021408	3.514432015	sp	0	0	1	0	0	NA
Balistapus undulatus	Balistidae	Balistapus	6025	30	2	50	2	D	1	1	IM	0	1	1	30	4	0.005696442	3.393028006	famille	0	0	1	0	0	medium
Balistoides viridescens	Balistidae	Balistoides	6026	75	1	50	2	D	1	1	IM	0	1	1	75	5	0.0244223	3.018284769	sp	0	1	1	0	1	low
Ballistidae sp	Balistidae	NA	F-445	NA	NA	NA	NA	NA	NA	NA	IM	NA	NA	NA	NA	NA	0.005696442	3.393028006	famille	0	0	0	NA	0	NA
Blennie	Blenniidae	NA	F-392	NA	NA	NA	1	D	1	1	HD	NA	NA	NA	NA	NA	0.002176338	3.900642826	famille	0	0	0	NA	0	NA
Bodianus axillaris	Labridae	Bodianus	5498	20	2	100	2	D	1	1	IM	0	0	0	20	4	0.01081521	3.173051905	genus	0	0	0	0	0	medium
Bodianus sp	Labridae	Bodianus	G-1995	NA	NA	NA	2	D	1	1	IM	NA	NA	NA	NA	NA	0.01081521	3.173051905	genus	0	0	0	NA	0	NA
Bothidae sp	Bothidae	NA	F-439	NA	NA	NA	3	B	1	1	NA	NA	NA	NA	NA	NA	0.00721	3.21275	famille	0	0	0	NA	0	NA
Bothus mancus	Bothidae	Bothus	7641	42	3	150	2	B	1	1	FC	0	0	0	45	4	0.001989028	3.75083925	genus	0	0	0	0	0	medium
Bothus pantherinus	Bothidae	Bothus	1321	39	3	150	2	B	1	1	FC	0	0	0	39	4	0.001989028	3.75083925	sp	0	0	0	0	0	medium
Callionymus simplicicornis	Callionymidae	Callionymus	17470	6	0	40	1	D	1	1	IM	0	0	0	5	1	0.03286	2.4662	famille	0	0	0	NA	0	high
Calotomus carolinus	Scaridae	Calotomus	4355	50	1	71	2	D	1	1	HD	Browser	1	0	54	4	0.022236967	2.970682336	famille	0	0	2	1	0	medium
Cantherhines dumerilii	Monacanthidae	Cantherhines	5836	38	6	35	2	D	2	1	IS	0	1	1	38	4	0.012224814	3.032756806	famille	0	0	0	0	0	medium
Cantherhines pardalis	Monacanthidae	Cantherhines	6635	19	2	20	2	D	1	1	OM	0	0	0	25	4	0.012224814	3.032756806	famille	0	0	0	0	0	medium
Cantherhines sandwichiensis	Monacanthidae	Cantherhines	7835	19	2	73	2	D	1	1	OM	0	1	1	19.3	3	NA	NA	NA	0	0	0	NA	0	medium
Canthidermis maculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Canthigaster amboinensis	Tetraodontidae	Canthigaster	7840	15	1	16	1	D	1	1	OM	0	1	0	15	3	0.042376622	2.822020793	genus	0	0	0	0	0	high
Canthigaster bennetti	Tetraodontidae	Canthigaster	6541	10	1	12	1	D	3	1	OM	0	0	0	10	2	0.042376622	2.822020793	genus	0	0	0	0	0	high
Canthigaster janthinoptera	Tetraodontidae	Canthigaster	6543	9	1	30	1	D	1	1	OM	0	0	0	9	2	0.042376622	2.822020793	genus	0	0	0	0	0	high
Canthigaster solandri	Tetraodontidae	Canthigaster	6578	11	10	36	1	D	1	1	OM	0	1	0	11.5	2	0.029890644	2.978805797	sp	0	0	0	0	0	high
Canthigaster sp	Tetraodontidae	Canthigaster	G-1159	NA	NA	NA	1	D	1	1	OM	NA	NA	NA	NA	NA	0.042376622	2.822020793	genus	0	0	0	NA	0	NA
Canthigaster valentini	Tetraodontidae	Canthigaster	6544	11	1	55	1	D	2	1	OM	0	1	0	11	2	0.036673123	2.943193424	sp	0	0	0	0	0	medium
Caracanthus maculatus	Caracanthidae	Caracanthus	7873	5	3	15	1	N	1	1	IM	0	0	2	5	1	0.02639	2.62257	shape	0	0	0	0	0	high
Carangoides ferdau	Carangidae	Carangoides	1921	70	1	60	3	B	4	3	FC	0	0	0	70	5	0.036825665	2.851155431	sp	0	0	2	1	0	medium
Carangoides orthogrammus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Caranx ignobilis	Carangidae	Caranx	1895	170	10	188	3	B	1	3	FC	0	0	0	170	6	0.016383141	3.058693265	sp	0	1	2	1	1	medium
Caranx lugubris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Caranx melampygus	Carangidae	Caranx	1906	100	0	190	3	B	3	3	FC	0	0	0	117	6	0.023398166	2.917987056	sp	1	1	2	2	1	medium
Caranx papuensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Caranx sexfasciatus	Carangidae	Caranx	1917	80	0	146	3	B	4	3	IM	0	0	0	120	6	0.019833081	2.986046206	genus	1	0	2	2	1	medium
Carcharhinus amblyrhynchos	Carcharhinidae	Carcharhinus	861	300	0	1000	3	B	1	2	FC	0	0	0	255	6	0.002266057	3.372658532	sp	0	0	0	1	0	very low
Carcharhinus melanopterus	Carcharhinidae	Carcharhinus	877	200	20	75	3	B	1	2	FC	0	0	0	200	6	0.001298139	3.507762679	genus	0	0	0	1	0	very low
Centropyge bispinosa	Pomacanthidae	Centropyge	5458	10	9	45	1	D	2	1	HD	Grazer	0	1	10	2	0.091949687	2.45798686	sp	0	0	0	0	0	high
Centropyge flavicauda	Pomacanthidae	Centropyge	5664	6	10	60	1	D	2	1	HD	Grazer	0	1	8	2	0.074481017	2.576934376	genus	0	0	0	0	0	high
Centropyge flavissima	Pomacanthidae	Centropyge	5457	14	3	50	1	D	2	1	HD	Grazer	0	1	14	3	0.074481017	2.576934376	genus	0	0	0	0	0	high
Centropyge heraldi	Pomacanthidae	Centropyge	5665	12	5	90	1	D	2	1	HD	Grazer	0	0	10	2	0.074481017	2.576934376	genus	0	0	0	0	0	high
Centropyge loricula	Pomacanthidae	Centropyge	7814	10	15	60	1	D	2	1	HD	Grazer	0	0	15	2	0.074481017	2.576934376	genus	0	0	0	0	0	high
Centropyge multicolor	Pomacanthidae	Centropyge	11000	9	20	115	1	D	2	1	HD	Grazer	0	1	9	2	0.074481017	2.576934376	genus	0	0	0	NA	0	high
Cephalopholis argus	Serranidae	Cephalopholis	6396	55	1	40	1	B	1	1	FC	0	0	0	60	5	0.009292998	3.180742513	sp	0	1	2	1	1	medium
Cephalopholis sexmaculata	Serranidae	Cephalopholis	6453	48	6	150	1	B	1	1	FC	0	0	0	50	5	0.011457146	3.109346384	genus	0	1	2	1	0	medium 
Cephalopholis urodeta	Serranidae	Cephalopholis	6456	28	1	60	1	B	1	1	FC	0	0	0	28	4	0.028222858	2.817750702	sp	0	0	2	0	0	high
Cetoscarus ocellatus	Scaridae	Cetoscarus	M-3953-G	80	0	0	2	D	3	1	HD	Grazer	1	2	80	NA	0.022236967	2.970682336	famille	0	0	2	2	0	medium
Chaetodon auriga	Chaetodontidae	Chaetodon	5557	23	1	35	1	D	2	1	IM	0	1	0	23	4	0.040397085	2.829430605	sp	0	0	1	0	0	high
Chaetodon bennetti	Chaetodontidae	Chaetodon	5559	18	1	30	1	D	2	1	IS	0	2	2	20	3	0.038394963	2.885078662	sp	0	0	0	0	0	high
Chaetodon citrinellus	Chaetodontidae	Chaetodon	5561	13	1	36	1	D	2	1	IS	0	1	1	13	3	0.035298745	2.834137756	sp	0	0	0	0	0	high
Chaetodon ephippium	Chaetodontidae	Chaetodon	5562	23	0	30	1	D	2	1	IS	0	1	1	30	4	0.022485473	3.060921521	sp	0	0	1	0	0	high
Chaetodon lineolatus	Chaetodontidae	Chaetodon	5564	30	2	171	1	D	2	1	IS	0	1	1	30	4	0.069264822	2.621506842	sp	0	0	1	0	0	high
Chaetodon lunula	Chaetodontidae	Chaetodon	5565	20	0	30	1	B	2	2	IS	0	1	2	20	4	0.045008109	2.814158595	genus	0	0	1	0	0	high
Chaetodon lunulatus	Chaetodontidae	Chaetodon	14300	12	3	20	1	D	2	1	IS	0	2	2	14	3	0.031101049	2.975659108	sp	0	0	0	0	0	medium
Chaetodon mertensii	Chaetodontidae	Chaetodon	5567	12.5	10	120	1	D	2	1	IM	0	1	2	12.5	3	0.004296796	3.793382066	sp	0	0	0	0	0	high
Chaetodon ornatissimus	Chaetodontidae	Chaetodon	6550	20	1	36	1	D	2	1	IS	0	2	2	20	3	0.045008109	2.814158595	genus	0	0	1	0	0	high
Chaetodon pelewensis	Chaetodontidae	Chaetodon	6606	12.5	1	30	1	D	2	1	IS	0	1	2	12.5	3	0.015326221	3.296587373	sp	0	0	0	0	0	high
Chaetodon quadrimaculatus	Chaetodontidae	Chaetodon	5572	16	2	15	1	D	2	1	IS	0	2	2	16	3	0.045008109	2.814158595	genus	0	0	0	0	0	high
Chaetodon reticulatus	Chaetodontidae	Chaetodon	5574	16	1	30	1	D	2	2	IS	0	2	2	18	3	0.045008109	2.814158595	genus	0	0	1	0	0	high
Chaetodon trichrous	Chaetodontidae	Chaetodon	12537	12	0	0	1	D	2	2	IM	0	1	1	12	3	0.045008109	2.814158595	genus	0	0	0	NA	0	high
Chaetodon trifascialis	Chaetodontidae	Chaetodon	5578	18	2	30	1	D	2	1	IS	0	2	2	18	3	0.025776994	2.969077062	sp	0	0	0	0	0	high
Chaetodon ulietensis	Chaetodontidae	Chaetodon	5580	15	2	30	1	D	2	1	OM	0	1	2	15	3	0.031141577	2.874116568	sp	0	0	1	0	0	high
Chaetodon unimaculatus	Chaetodontidae	Chaetodon	5581	20	1	60	1	D	2	1	IS	0	1	1	20	3	0.053302895	2.833278557	sp	0	0	0	0	0	high
Chaetodon vagabundus	Chaetodontidae	Chaetodon	5582	23	0	30	1	D	2	1	IM	0	1	0	23	3	0.027755325	2.9734648	sp	0	0	1	0	0	high
Chanos chanos	Chanidae	Chanos	80	180	1	30	3	D	5	3	OM	0	0	0	180	6	0.004740183	3.389106733	sp	1	1	2	1	0	low
Cheilinus chlorourus	Labridae	Cheilinus	5598	45	1	30	2	D	1	1	IM	0	0	1	45	5	0.019724558	2.993151669	sp	1	0	2	1	0	medium
Cheilinus oxycephalus	Labridae	Cheilinus	5602	17	1	40	2	D	1	1	IM	0	0	1	17	3	0.015508278	3.057916947	genus	0	0	1	0	0	high
Cheilinus trilobatus	Labridae	Cheilinus	5603	45	1	30	2	D	1	1	IM	0	0	1	45	4	0.016232685	3.059469977	sp	1	0	2	1	0	medium
Cheilinus undulatus	Labridae	Cheilinus	5604	230	1	100	2	D	1	1	IM	0	0	1	229	6	0.011309574	3.136202122	sp	1	1	2	2	1	low
Cheilio inermis	Labridae	Cheilio	5623	50	1	30	3	D	1	1	FC	0	0	0	50	4	0.003490727	3.081569135	sp	0	0	1	0	0	low
Cheilodipterus quinquelineatus	Apogonidae	Cheilodipterus	5482	12	0	40	1	N	3	2	FC	0	0	1	13	3	0.016071637	2.999229198	sp	0	0	0	0	0	high
Chlorurus frontalis	Scaridae	Chlorurus	5547	50	0	40	2	D	3	1	OM	Scrapers	0	0	50	5	0.023373877	2.956463124	genus	1	1	2	1	0	medium
Chlorurus microrhinos	Scaridae	Chlorurus	60479	70	1	35	2	D	3	1	OM	Scrapers	1	2	70	5	0.024694091	2.955475758	sp	1	1	2	2	0	low
Chlorurus sordidus	Scaridae	Chlorurus	5556	40	0	50	2	D	3	1	OM	Scrapers	1	2	40	4	0.024311416	2.969306281	sp	1	1	2	1	0	medium
Chromis acares	Pomacentridae	Chromis	5668	4	2	37	1	D	4	2	PK	0	0	1	4	2	0.022859092	3.17522814	genus	0	0	0	0	0	high
Chromis agilis	Pomacentridae	Chromis	5669	7.5	3	65	1	D	4	2	PK	0	0	2	7.5	2	0.022859092	3.17522814	genus	0	0	0	0	0	high
Chromis atripectoralis	Pomacentridae	Chromis	5450	12	1	29	1	D	5	2	PK	0	0	2	12	3	0.017909534	3.290729357	sp	0	0	0	0	0	high
Chromis iomelas	Pomacentridae	Chromis	8126	8	3	35	1	D	4	2	PK	0	0	1	8	2	0.015048996	3.382927044	sp	0	0	0	0	0	high
Chromis margaritifer	Pomacentridae	Chromis	5675	9	2	20	1	D	4	2	PK	0	0	1	9	2	0.022859092	3.17522814	genus	0	0	0	0	0	high
Chromis sp	Pomacentridae	Chromis	G-2049	NA	NA	NA	1	D	4	2	PK	NA	NA	NA	NA	NA	0.022859092	3.17522814	genus	0	0	0	NA	0	NA
Chromis vanderbilti	Pomacentridae	Chromis	5678	6	2	20	1	D	5	2	PK	0	0	1	4.5	2	0.022859092	3.17522814	genus	0	0	0	0	0	high
Chromis viridis	Pomacentridae	Chromis	5679	7	10	12	1	D	5	2	PK	0	0	2	8	2	0.035072347	2.899651752	sp	0	0	0	0	0	high
Chromis xanthura	Pomacentridae	Chromis	5682	15	3	40	1	D	5	2	PK	0	0	1	15	3	0.022859092	3.17522814	genus	0	0	0	0	0	medium
Chrysiptera brownriggii	Pomacentridae	Chrysiptera	5697	8	0	12	1	D	3	1	OM	Grazer	0	0	8	2	0.025946838	2.926389596	genus	0	0	0	0	0	high
Chrysiptera glauca	Pomacentridae	Chrysiptera	5696	10	0	3	1	D	4	1	OM	0	0	0	10	2	0.025946838	2.926389596	genus	0	0	0	0	0	high
Cirrhilabrus exquisitus	Labridae	Cirrhilabrus	5614	12	6	40	1	D	4	2	PK	0	0	0	12	3	0.010669345	3.177649683	famille	0	0	0	0	0	high
Cirrhilabrus scottorum	Labridae	Cirrhilabrus	12728	13	3	40	1	D	4	2	PK	0	0	0	13	3	0.010669345	3.177649683	famille	0	0	0	0	0	high
Cirrhitichthys oxycephalus	Cirrhitidae	Cirrhitichthys	5830	8.5	1	40	1	D	1	1	IM	0	0	0	10	2	0.003332383	3.849262866	NA	0	0	0	NA	0	NA
Cirrhitus pinnulatus	Cirrhitidae	Cirrhitus	5831	21	0	23	1	D	1	1	FC	0	0	1	30	4	0.009273273	3.268401098	famille	0	0	0	NA	0	NA
Cirripectes variolosus	Blenniidae	Cirripectes	4404	10	0	31	1	D	1	1	HD	Grazer	0	1	10	3	0.013041119	3.1496559	genus	0	0	0	0	0	high
Clupeidae sp	Clupeidae	NA	F-43	NA	NA	NA	3	B	5	3	PK	NA	NA	NA	NA	NA	0.00932	3.31424	famille	0	0	0	NA	0	medium
Coris aygula	Labridae	Coris	5624	100	2	30	2	D	1	1	IM	0	0	1	70	5	0.002659732	3.488574917	sp	0	0	2	1	0	very low
Coris gaimard	Labridae	Coris	5625	40	1	50	2	D	1	1	IM	0	0	1	40	4	0.006500842	3.254413799	genus	0	0	1	1	0	medium
Coryphopterus sp	Gobiidae	Coryphopterus	G-2375	7	NA	NA	1	D	1	1	IM	NA	NA	NA	NA	NA	0.01831	2.7822	genus	0	0	0	NA	0	NA
Corythoichthys flavofasciatus	Syngnathidae	Corythoichthys	5959	12	0	25	1	D	2	1	IM	0	0	0	12	3	0.008477549	3.0777	NA	0	0	0	NA	0	high
Crenimugil crenilabis	Mugilidae	Crenimugil	5653	60	0	20	3	B	4	2	HD	0	0	0	60	5	0.012718591	3.046374966	famille	1	0	2	2	1	high
Ctenochaetus binotatus	Acanthuridae	Ctenochaetus	6012	22	8	53	1	D	3	1	OM	Scrapers	0	0	22	3	0.039156835	2.874628814	sp	0	1	1	1	0	high
Ctenochaetus flavicauda	Acanthuridae	Ctenochaetus	59589	16	0	30	1	D	3	1	OM	Scrapers	0	1	11.8	3	0.023712333	3.055814451	genus	0	0	1	NA	0	high
Ctenochaetus hawaiiensis	Acanthuridae	Ctenochaetus	6013	25	1	61	1	D	1	1	OM	Scrapers	0	0	25	4	0.023712333	3.055814451	genus	0	0	1	1	0	high
Ctenochaetus striatus	Acanthuridae	Ctenochaetus	1262	26	3	30	1	D	4	1	OM	Scrapers	0	0	26	4	0.02313218	3.063472078	sp	0	0	2	1	1	low
Ctenogobiops feroculus	Gobiidae	Ctenogobiops	7238	7.5	6	20	1	D	2	1	IM	0	0	0	8	2	0.026387532	2.622565603	famille	0	0	0	0	0	high
Dascyllus aruanus	Pomacentridae	Dascyllus	5110	8	0	20	1	D	4	1	PK	0	0	2	10	2	0.04150671	2.988875406	sp	0	0	0	0	0	medium
Dascyllus flavicaudus	Pomacentridae	Dascyllus	11972	12	3	40	1	D	4	1	PK	0	0	2	12	2	0.046174091	2.910513356	genus	0	0	0	0	0	high
Dascyllus reticulatus	Pomacentridae	Dascyllus	5113	12	1	50	1	D	4	1	PK	0	0	2	9	2	0.031105228	3.132714309	sp	0	0	0	0	0	high
Dascyllus trimaculatus	Pomacentridae	Dascyllus	5112	14	1	55	1	D	3	1	PK	0	0	2	11	3	0.031324286	3.043250679	sp	0	0	0	0	0	high
Decapterus macarellus	Carangidae	Decapterus	993	40	0	400	3	B	5	3	PK	0	0	0	46	4	0.0139	2.9628	genus	0	0	2	NA	0	high
Decapterus macrosoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
Diodon hystrix	Diodontidae	Diodon	1022	80	2	50	2	B	1	1	IM	0	0	0	91	5	0.193426479	2.471790689	sp	0	0	1	0	0	low
Echeneis naucrates	Echeneidae	Echeneis	2467	110	20	50	3	B	1	3	IM	0	0	0	110	6	0.00075483	3.357789232	sp	0	0	0	0	0	medium
Echidna nebulosa	Muraenidae	Echidna	5388	75	1	48	1	N	1	1	IM	0	0	0	100	5	0.000282055	3.351610784	genus	0	0	0	0	0	NA
Elagatis bipinnulata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ellochelon vaigiensis	Mugilidae	Ellochelon	5656	48	0	0	3	B	4	2	HD	0	0	0	63	5	0.014056981	3.022846675	genus	1	1	2	2	0	low
Epibulus insidiator	Labridae	Epibulus	5606	54	1	42	2	D	1	1	FC	0	0	1	54	4	0.016138369	3.081018461	sp	0	0	2	1	0	low
Epinephelus fasciatus	Serranidae	Epinephelus	5348	40	4	160	2	B	1	1	FC	0	0	0	40	4	0.013826472	3.040659702	sp	1	1	2	1	0	low
Epinephelus hexagonatus	Serranidae	Epinephelus	6660	26	0	30	2	B	1	1	FC	0	0	0	27.5	4	0.012236976	3.052670782	genus	0	1	2	0	0	high
Epinephelus merra	Serranidae	Epinephelus	4923	31	0	50	2	B	1	1	FC	0	0	0	31	4	0.015835139	2.966364394	sp	0	1	2	0	0	high
Epinephelus tauvina	Serranidae	Epinephelus	4461	100	1	300	2	B	1	1	FC	0	0	0	75	5	0.012236976	3.052670782	genus	0	1	2	2	1	low
Eviota afelei	Gobiidae	Eviota	7258	1.8	0	0	1	D	1	1	IM	0	0	0	1.8	1	0.026387532	2.622565603	famille	0	0	0	NA	0	high
Eviota prasites	Gobiidae	Eviota	7271	3.5	6	16	1	D	3	1	IM	0	0	0	3	1	0.026387532	2.622565603	famille	0	0	0	NA	0	high
Eviota sp	Gobiidae	Eviota	G-432	NA	NA	NA	1	D	3	1	IM	NA	NA	NA	NA	NA	0.026387532	2.622565603	famille	0	0	0	NA	0	NA
Exallias brevis	Blenniidae	Exallias	6032	14.5	3	20	1	D	1	1	IS	0	1	2	14.5	3	0.002176338	3.900642826	famille	0	0	0	0	0	high
Fistularia commersonii	Fistulariidae	Fistularia	5444	160	0	132	3	D	3	3	FC	0	0	0	160	6	0.000459584	3.048269345	genus	0	0	0	0	0	NA
Forcipiger flavissimus	Chaetodontidae	Forcipiger	5584	22	1	114	1	D	2	1	IM	0	1	2	22	4	0.042050947	2.847331765	famille	0	0	1	0	0	high
Forcipiger longirostris	Chaetodontidae	Forcipiger	5585	22	3	70	1	D	2	1	IM	0	1	2	22	4	0.042050947	2.847331765	famille	0	0	1	0	0	high
